,wheelbase,boreratio,compressionratio,fueltype_diesel,carbody_convertible,enginelocation_rear,cylindernumber_four,cylindernumber_twelve,fuelsystem_idi,CarCompany_high
0,88.6,3.47,9.0,0,1,0,1,0,0,0
1,88.6,3.47,9.0,0,1,0,1,0,0,0
2,94.5,2.68,9.0,0,0,0,0,0,0,0
3,99.8,3.19,10.0,0,0,0,1,0,0,0
4,99.4,3.19,8.0,0,0,0,0,0,0,0
5,99.8,3.19,8.5,0,0,0,0,0,0,0
6,105.8,3.19,8.5,0,0,0,0,0,0,0
7,105.8,3.19,8.5,0,0,0,0,0,0,0
8,105.8,3.13,8.3,0,0,0,0,0,0,0
9,99.5,3.13,7.0,0,0,0,0,0,0,0
10,101.2,3.5,8.8,0,0,0,1,0,0,1
11,101.2,3.5,8.8,0,0,0,1,0,0,1
12,101.2,3.31,9.0,0,0,0,0,0,0,1
13,101.2,3.31,9.0,0,0,0,0,0,0,1
14,103.5,3.31,9.0,0,0,0,0,0,0,1
15,103.5,3.62,8.0,0,0,0,0,0,0,1
16,103.5,3.62,8.0,0,0,0,0,0,0,1
17,110.0,3.62,8.0,0,0,0,0,0,0,1
18,88.4,2.91,9.5,0,0,0,0,0,0,0
19,94.5,3.03,9.6,0,0,0,1,0,0,0
20,94.5,3.03,9.6,0,0,0,1,0,0,0
21,93.7,2.97,9.41,0,0,0,1,0,0,0
22,93.7,2.97,9.4,0,0,0,1,0,0,0
23,93.7,3.03,7.6,0,0,0,1,0,0,0
24,93.7,2.97,9.4,0,0,0,1,0,0,0
25,93.7,2.97,9.4,0,0,0,1,0,0,0
26,93.7,2.97,9.4,0,0,0,1,0,0,0
27,93.7,3.03,7.6,0,0,0,1,0,0,0
28,103.3,3.34,8.5,0,0,0,1,0,0,0
29,95.9,3.6,7.0,0,0,0,1,0,0,0
30,86.6,2.91,9.6,0,0,0,1,0,0,0
31,86.6,2.91,9.2,0,0,0,1,0,0,0
32,93.7,2.91,10.1,0,0,0,1,0,0,0
33,93.7,2.91,9.2,0,0,0,1,0,0,0
34,93.7,2.91,9.2,0,0,0,1,0,0,0
35,96.5,2.91,9.2,0,0,0,1,0,0,0
36,96.5,2.92,9.2,0,0,0,1,0,0,0
37,96.5,3.15,9.0,0,0,0,1,0,0,0
38,96.5,3.15,9.0,0,0,0,1,0,0,0
39,96.5,3.15,9.0,0,0,0,1,0,0,0
40,96.5,3.15,9.0,0,0,0,1,0,0,0
41,96.5,3.15,9.0,0,0,0,1,0,0,0
42,96.5,3.15,9.1,0,0,0,1,0,0,0
43,94.3,3.31,8.5,0,0,0,1,0,0,0
44,94.5,3.03,9.6,0,0,0,1,0,0,0
45,94.5,3.03,9.6,0,0,0,1,0,0,0
46,96.0,3.43,9.2,0,0,0,1,0,0,0
47,113.0,3.63,8.1,0,0,0,0,0,0,1
48,113.0,3.63,8.1,0,0,0,0,0,0,1
49,102.0,3.54,11.5,0,0,0,0,1,0,1
50,93.1,3.03,9.0,0,0,0,1,0,0,0
51,93.1,3.03,9.0,0,0,0,1,0,0,0
52,93.1,3.03,9.0,0,0,0,1,0,0,0
53,93.1,3.03,9.0,0,0,0,1,0,0,0
54,93.1,3.08,9.0,0,0,0,1,0,0,0
55,95.3,3.33,9.4,0,0,0,0,0,0,0
56,95.3,3.33,9.4,0,0,0,0,0,0,0
57,95.3,3.33,9.4,0,0,0,0,0,0,0
58,95.3,3.33,9.4,0,0,0,0,0,0,0
59,98.8,3.39,8.6,0,0,0,1,0,0,0
60,98.8,3.39,8.6,0,0,0,1,0,0,0
61,98.8,3.39,8.6,0,0,0,1,0,0,0
62,98.8,3.39,8.6,0,0,0,1,0,0,0
63,98.8,3.39,22.7,1,0,0,1,0,1,0
64,98.8,3.39,8.6,0,0,0,1,0,0,0
65,104.9,3.76,8.0,0,0,0,1,0,0,0
66,104.9,3.43,22.0,1,0,0,1,0,1,0
67,110.0,3.58,21.5,1,0,0,0,0,1,1
68,110.0,3.58,21.5,1,0,0,0,0,1,1
69,106.7,3.58,21.5,1,0,0,0,0,1,1
70,115.6,3.58,21.5,1,0,0,0,0,1,1
71,115.6,3.46,8.3,0,0,0,0,0,0,1
72,96.6,3.46,8.3,0,1,0,0,0,0,1
73,120.9,3.8,8.0,0,0,0,0,0,0,1
74,112.0,3.8,8.0,0,0,0,0,0,0,1
75,102.7,3.78,8.0,0,0,0,1,0,0,0
76,93.7,2.97,9.4,0,0,0,1,0,0,0
77,93.7,2.97,9.4,0,0,0,1,0,0,0
78,93.7,2.97,9.4,0,0,0,1,0,0,0
79,93.0,3.03,7.6,0,0,0,1,0,0,0
80,96.3,3.17,7.5,0,0,0,1,0,0,0
81,96.3,3.35,8.5,0,0,0,1,0,0,0
82,95.9,3.58,7.0,0,0,0,1,0,0,0
83,95.9,3.59,7.0,0,0,0,1,0,0,0
84,95.9,3.59,7.0,0,0,0,1,0,0,0
85,96.3,3.35,8.5,0,0,0,1,0,0,0
86,96.3,3.35,8.5,0,0,0,1,0,0,0
